"locdisplayid","agentinvoice_invid","agentinvoice_finidn","agentinvoice_productid","sales_type","totalcount","amount"
"001212","2946","0501",9,"119",0,"0.97184403700"
"001212","2946","0501",11,"119",0,"0.95903014400"
"001212","2946","0501",23,"119",0,"0.95835005400"
"001212","2946","0501",23,"119",0,"0.96024559600"
"001212","2946","0501",23,"119",0,"0.96224708900"
"001212","2946","0501",23,"119",0,"0.96798352400"
"001212","2946","0501",23,"119",0,"0.97008987100"
"001212","2946","0501",66,"119",0,"0.95835005400"
"001212","2946","0501",66,"119",0,"0.96024559600"
"001212","2946","0501",66,"119",0,"0.96224708900"
"001212","2946","0501",66,"119",0,"0.96798352400"
"001212","2946","0501",66,"119",0,"0.97008987100"
"001212","2946","0501",71,"119",0,"0.95835005400"
"001212","2946","0501",71,"119",0,"0.96024559600"
"001212","2946","0501",71,"119",0,"0.96224708900"
"001212","2946","0501",71,"119",0,"0.96798352400"
"001212","2946","0501",71,"119",0,"0.97008987100"
"001213","2946","0501",9,"119",0,"0.96532110100"
"001213","2946","0501",9,"119",0,"0.97184403700"
"001213","2946","0501",11,"119",0,"0.95903014400"
"001213","2946","0501",23,"119",0,"0.95835005400"
"001213","2946","0501",23,"119",0,"0.96024559600"
"001213","2946","0501",23,"119",0,"0.96224708900"
"001213","2946","0501",23,"119",0,"0.96798352400"
"001213","2946","0501",23,"119",0,"0.97008987100"
"001213","2946","0501",66,"119",0,"0.95835005400"
"001213","2946","0501",66,"119",0,"0.96024559600"
"001213","2946","0501",66,"119",0,"0.96224708900"
"001213","2946","0501",66,"119",0,"0.96798352400"
"001213","2946","0501",66,"119",0,"0.97008987100"
"001213","2946","0501",71,"119",0,"0.95835005400"
"001213","2946","0501",71,"119",0,"0.96024559600"
"001213","2946","0501",71,"119",0,"0.96224708900"
"001213","2946","0501",71,"119",0,"0.96798352400"
"001213","2946","0501",71,"119",0,"0.97008987100"
"001214","2946","0201",9,"119",0,"0.96532110100"
"001214","2946","0201",9,"119",0,"0.97184403700"
"001214","2946","0201",11,"119",0,"0.95903014400"
"001214","2946","0201",23,"119",0,"0.95835005400"
"001214","2946","0201",23,"119",0,"0.96024559600"
"001214","2946","0201",23,"119",0,"0.96224708900"
"001214","2946","0201",23,"119",0,"0.96798352400"
"001214","2946","0201",23,"119",0,"0.97008987100"
"001214","2946","0201",66,"119",0,"0.95835005400"
"001214","2946","0201",66,"119",0,"0.96024559600"
"001214","2946","0201",66,"119",0,"0.96224708900"
"001214","2946","0201",66,"119",0,"0.96798352400"
"001214","2946","0201",66,"119",0,"0.97008987100"
"001214","2946","0201",71,"119",0,"0.95835005400"
"001214","2946","0201",71,"119",0,"0.96024559600"
"001214","2946","0201",71,"119",0,"0.96224708900"
"001214","2946","0201",71,"119",0,"0.96798352400"
"001214","2946","0201",71,"119",0,"0.97008987100"
"001216","2946","1301",9,"119",0,"0.96532110100"
"001216","2946","1301",9,"119",0,"0.97184403700"
"001216","2946","1301",11,"119",0,"0.95903014400"
"001216","2946","1301",23,"119",0,"0.95835005400"
"001216","2946","1301",23,"119",0,"0.96024559600"
"001216","2946","1301",23,"119",0,"0.96224708900"
"001216","2946","1301",23,"119",0,"0.96798352400"
"001216","2946","1301",23,"119",0,"0.97008987100"
"001216","2946","1301",66,"119",0,"0.95835005400"
"001216","2946","1301",66,"119",0,"0.96024559600"
"001216","2946","1301",66,"119",0,"0.96224708900"
"001216","2946","1301",66,"119",0,"0.96798352400"
"001216","2946","1301",66,"119",0,"0.97008987100"
"001216","2946","1301",71,"119",0,"0.95835005400"
"001216","2946","1301",71,"119",0,"0.96024559600"
"001216","2946","1301",71,"119",0,"0.96224708900"
"001216","2946","1301",71,"119",0,"0.96798352400"
"001216","2946","1301",71,"119",0,"0.97008987100"
"001303","2946","0501",9,"119",0,"0.96532110100"
"001303","2946","0501",9,"119",0,"0.97184403700"
"001303","2946","0501",11,"119",0,"0.95903014400"
"001303","2946","0501",23,"119",0,"0.95835005400"
"001303","2946","0501",23,"119",0,"0.96024559600"
"001303","2946","0501",23,"119",0,"0.96224708900"
"001303","2946","0501",23,"119",0,"0.96798352400"
"001303","2946","0501",23,"119",0,"0.97008987100"
"001303","2946","0501",66,"119",0,"0.95835005400"
"001303","2946","0501",66,"119",0,"0.96024559600"
"001303","2946","0501",66,"119",0,"0.96224708900"
"001303","2946","0501",66,"119",0,"0.96798352400"
"001303","2946","0501",66,"119",0,"0.97008987100"
"001303","2946","0501",71,"119",0,"0.95835005400"
"001303","2946","0501",71,"119",0,"0.96024559600"
"001303","2946","0501",71,"119",0,"0.96224708900"
"001303","2946","0501",71,"119",0,"0.96798352400"
"001303","2946","0501",71,"119",0,"0.97008987100"
"001415","2946","0501",9,"119",0,"0.96532110100"
"001415","2946","0501",9,"119",0,"0.97184403700"
"001415","2946","0501",11,"119",0,"0.95903014400"
"001415","2946","0501",23,"119",0,"0.95835005400"
"001415","2946","0501",23,"119",0,"0.96024559600"
"001415","2946","0501",23,"119",0,"0.96224708900"
"001415","2946","0501",23,"119",0,"0.96798352400"
