TERDISPLAYID,TRANSACTIONDATE,PRODID,LOCDISPLAYID,SALES_TYPE,TOTALCOUNT,AMOUNT,SUB_PROD
004613001,2025-06-25,3,004613,4,0,0.0,TOTO MATCH
004613001,2025-06-25,4,004613,4,0,0.0,SINGAPORE SWEEP
004613001,2025-06-25,5,004613,4,0,0.0,SPORTS
004613002,2025-06-25,1,004613,4,0,0.0,HORSE RACING
004613002,2025-06-25,2,004613,4,0,0.0,4D Lottery
004613002,2025-06-25,3,004613,4,0,0.0,TOTO
004613002,2025-06-25,3,004613,4,0,0.0,TOTO MATCH
004613002,2025-06-25,4,004613,4,0,0.0,SINGAPORE SWEEP
004613002,2025-06-25,5,004613,4,0,0.0,SPORTS
004701001,2025-06-25,1,004701,4,0,0.0,HORSE RACING
004701001,2025-06-25,2,004701,4,0,0.0,4D Lottery
004701001,2025-06-25,3,004701,4,0,0.0,TOTO
004701001,2025-06-25,3,004701,4,0,0.0,TOTO MATCH
004701001,2025-06-25,4,004701,4,0,0.0,SINGAPORE SWEEP
004701001,2025-06-25,5,004701,4,0,0.0,SPORTS
004701002,2025-06-25,1,004701,4,0,0.0,HORSE RACING
004701002,2025-06-25,2,004701,4,0,0.0,4D Lottery
004701002,2025-06-25,3,004701,4,0,0.0,TOTO
004701002,2025-06-25,3,004701,4,0,0.0,TOTO MATCH
004701002,2025-06-25,4,004701,4,0,0.0,SINGAPORE SWEEP
004701002,2025-06-25,5,004701,4,0,0.0,SPORTS
004701003,2025-06-25,1,004701,4,0,0.0,HORSE RACING
004701003,2025-06-25,2,004701,4,0,0.0,4D Lottery
004701003,2025-06-25,3,004701,4,0,0.0,TOTO
004701003,2025-06-25,3,004701,4,0,0.0,TOTO MATCH
004701003,2025-06-25,4,004701,4,0,0.0,SINGAPORE SWEEP
004701003,2025-06-25,5,004701,4,0,0.0,SPORTS
004702001,2025-06-25,1,004702,4,0,0.0,HORSE RACING
004702001,2025-06-25,2,004702,4,0,0.0,4D Lottery
004702001,2025-06-25,3,004702,4,0,0.0,TOTO
004702001,2025-06-25,3,004702,4,0,0.0,TOTO MATCH
004702001,2025-06-25,4,004702,4,0,0.0,SINGAPORE SWEEP
004702001,2025-06-25,5,004702,4,0,0.0,SPORTS
004702002,2025-06-25,1,004702,4,0,0.0,HORSE RACING
004702002,2025-06-25,2,004702,4,0,0.0,4D Lottery
004702002,2025-06-25,3,004702,4,0,0.0,TOTO
004702002,2025-06-25,3,004702,4,0,0.0,TOTO MATCH
004702002,2025-06-25,4,004702,4,0,0.0,SINGAPORE SWEEP
004702002,2025-06-25,5,004702,4,0,0.0,SPORTS
004703001,2025-06-25,1,004703,4,0,0.0,HORSE RACING
004703001,2025-06-25,2,004703,4,0,0.0,4D Lottery
004703001,2025-06-25,3,004703,4,0,0.0,TOTO
004703001,2025-06-25,3,004703,4,0,0.0,TOTO MATCH
004703001,2025-06-25,4,004703,4,0,0.0,SINGAPORE SWEEP
004703001,2025-06-25,5,004703,4,0,0.0,SPORTS
004703002,2025-06-25,1,004703,4,0,0.0,HORSE RACING
004703002,2025-06-25,2,004703,4,0,0.0,4D Lottery
004703002,2025-06-25,3,004703,4,0,0.0,TOTO
004703002,2025-06-25,3,004703,4,0,0.0,TOTO MATCH
004703002,2025-06-25,4,004703,4,0,0.0,SINGAPORE SWEEP
004703002,2025-06-25,5,004703,4,0,0.0,SPORTS
004801001,2025-06-25,1,004801,4,0,0.0,HORSE RACING
004801001,2025-06-25,2,004801,4,0,0.0,4D Lottery
004801001,2025-06-25,3,004801,4,0,0.0,TOTO
004801001,2025-06-25,3,004801,4,0,0.0,TOTO MATCH
004801001,2025-06-25,4,004801,4,0,0.0,SINGAPORE SWEEP
004801001,2025-06-25,5,004801,4,0,0.0,SPORTS
004801002,2025-06-25,1,004801,4,0,0.0,HORSE RACING
004801002,2025-06-25,2,004801,4,0,0.0,4D Lottery
004801002,2025-06-25,3,004801,4,0,0.0,TOTO
004801002,2025-06-25,3,004801,4,0,0.0,TOTO MATCH
004801002,2025-06-25,4,004801,4,0,0.0,SINGAPORE SWEEP
004801002,2025-06-25,5,004801,4,0,0.0,SPORTS
004801003,2025-06-25,1,004801,4,0,0.0,HORSE RACING
004801003,2025-06-25,2,004801,4,0,0.0,4D Lottery
004801003,2025-06-25,3,004801,4,0,0.0,TOTO
004801003,2025-06-25,3,004801,4,0,0.0,TOTO MATCH
004801003,2025-06-25,4,004801,4,0,0.0,SINGAPORE SWEEP
004801003,2025-06-25,5,004801,4,0,0.0,SPORTS
005002001,2025-06-25,1,005002,4,0,0.0,HORSE RACING
005002001,2025-06-25,2,005002,4,0,0.0,4D Lottery
005002001,2025-06-25,3,005002,4,0,0.0,TOTO
005002001,2025-06-25,3,005002,4,0,0.0,TOTO MATCH
005002001,2025-06-25,4,005002,4,0,0.0,SINGAPORE SWEEP
005002001,2025-06-25,5,005002,4,0,0.0,SPORTS
005002002,2025-06-25,1,005002,4,0,0.0,HORSE RACING
005002002,2025-06-25,2,005002,4,0,0.0,4D Lottery
005002002,2025-06-25,3,005002,4,0,0.0,TOTO
005002002,2025-06-25,3,005002,4,0,0.0,TOTO MATCH
005002002,2025-06-25,4,005002,4,0,0.0,SINGAPORE SWEEP
005002002,2025-06-25,5,005002,4,0,0.0,SPORTS
005101001,2025-06-25,1,005101,4,0,0.0,HORSE RACING
005101001,2025-06-25,2,005101,4,0,0.0,4D Lottery
005101001,2025-06-25,3,005101,4,0,0.0,TOTO
005101001,2025-06-25,3,005101,4,0,0.0,TOTO MATCH
005101001,2025-06-25,4,005101,4,0,0.0,SINGAPORE SWEEP
005101001,2025-06-25,5,005101,4,0,0.0,SPORTS
005101002,2025-06-25,1,005101,4,0,0.0,HORSE RACING
005101002,2025-06-25,2,005101,4,0,0.0,4D Lottery
005101002,2025-06-25,3,005101,4,0,0.0,TOTO
005101002,2025-06-25,3,005101,4,0,0.0,TOTO MATCH
005101002,2025-06-25,4,005101,4,0,0.0,SINGAPORE SWEEP
005101002,2025-06-25,5,005101,4,0,0.0,SPORTS
005103001,2025-06-25,1,005103,4,0,0.0,HORSE RACING
005103001,2025-06-25,2,005103,4,0,0.0,4D Lottery
005103001,2025-06-25,3,005103,4,0,0.0,TOTO
005103001,2025-06-25,3,005103,4,0,0.0,TOTO MATCH
005103001,2025-06-25,4,005103,4,0,0.0,SINGAPORE SWEEP
005103001,2025-06-25,5,005103,4,0,0.0,SPORTS
005103002,2025-06-25,1,005103,4,0,0.0,HORSE RACING
005103002,2025-06-25,2,005103,4,0,0.0,4D Lottery
005103002,2025-06-25,3,005103,4,0,0.0,TOTO
005103002,2025-06-25,3,005103,4,0,0.0,TOTO MATCH
005103002,2025-06-25,4,005103,4,0,0.0,SINGAPORE SWEEP
005103002,2025-06-25,5,005103,4,0,0.0,SPORTS
005104001,2025-06-25,1,005104,4,0,0.0,HORSE RACING
005104001,2025-06-25,2,005104,4,0,0.0,4D Lottery
005104001,2025-06-25,3,005104,4,0,0.0,TOTO
005104001,2025-06-25,3,005104,4,0,0.0,TOTO MATCH
005104001,2025-06-25,4,005104,4,0,0.0,SINGAPORE SWEEP
005104001,2025-06-25,5,005104,4,0,0.0,SPORTS
005104002,2025-06-25,1,005104,4,0,0.0,HORSE RACING
005104002,2025-06-25,2,005104,4,0,0.0,4D Lottery
005104002,2025-06-25,3,005104,4,0,0.0,TOTO
005104002,2025-06-25,3,005104,4,0,0.0,TOTO MATCH
005104002,2025-06-25,4,005104,4,0,0.0,SINGAPORE SWEEP
005104002,2025-06-25,5,005104,4,0,0.0,SPORTS
005105001,2025-06-25,1,005105,4,0,0.0,HORSE RACING
005105001,2025-06-25,2,005105,4,0,0.0,4D Lottery
005105001,2025-06-25,3,005105,4,0,0.0,TOTO
005105001,2025-06-25,3,005105,4,0,0.0,TOTO MATCH
005105001,2025-06-25,4,005105,4,0,0.0,SINGAPORE SWEEP
005105001,2025-06-25,5,005105,4,0,0.0,SPORTS
005105002,2025-06-25,1,005105,4,0,0.0,HORSE RACING
005105002,2025-06-25,2,005105,4,0,0.0,4D Lottery
005105002,2025-06-25,3,005105,4,0,0.0,TOTO
005105002,2025-06-25,3,005105,4,0,0.0,TOTO MATCH
005105002,2025-06-25,4,005105,4,0,0.0,SINGAPORE SWEEP
005105002,2025-06-25,5,005105,4,0,0.0,SPORTS
005201001,2025-06-25,1,005201,4,0,0.0,HORSE RACING
005201001,2025-06-25,2,005201,4,0,0.0,4D Lottery
005201001,2025-06-25,3,005201,4,0,0.0,TOTO
005201001,2025-06-25,3,005201,4,0,0.0,TOTO MATCH
005201001,2025-06-25,4,005201,4,0,0.0,SINGAPORE SWEEP
