CR_TERDISPLAYID,CR_TRANSACTIONDATE,CR_LOCDISPLAYID,CR_TOTALCOUNT,CR_AMOUNT
155303001,2025-06-25,155303,0,0.0
155303002,2025-06-25,155303,0,0.0
155304001,2025-06-25,155304,0,0.0
155304002,2025-06-25,155304,0,0.0
160192001,2025-06-25,160192,0,0.0
160192002,2025-06-25,160192,0,0.0
160192003,2025-06-25,160192,0,0.0
160192004,2025-06-25,160192,0,0.0
160192005,2025-06-25,160192,0,0.0
160192006,2025-06-25,160192,0,0.0
160192007,2025-06-25,160192,0,0.0
160192008,2025-06-25,160192,0,0.0
160198001,2025-06-25,160198,0,0.0
160198002,2025-06-25,160198,0,0.0
160198003,2025-06-25,160198,0,0.0
160198004,2025-06-25,160198,0,0.0
160501001,2025-06-25,160501,0,0.0
160501002,2025-06-25,160501,0,0.0
160501003,2025-06-25,160501,0,0.0
160501004,2025-06-25,160501,0,0.0
160501005,2025-06-25,160501,0,0.0
160501006,2025-06-25,160501,0,0.0
160501007,2025-06-25,160501,0,0.0
160801001,2025-06-25,160801,0,0.0
160801002,2025-06-25,160801,0,0.0
160802001,2025-06-25,160802,0,0.0
160802002,2025-06-25,160802,0,0.0
160802003,2025-06-25,160802,0,0.0
160802004,2025-06-25,160802,0,0.0
160802005,2025-06-25,160802,0,0.0
160901001,2025-06-25,160901,0,0.0
160901002,2025-06-25,160901,0,0.0
161186001,2025-06-25,161186,0,0.0
161186002,2025-06-25,161186,0,0.0
161186003,2025-06-25,161186,0,0.0
161186011,2025-06-25,161186,0,0.0
161186012,2025-06-25,161186,0,0.0
161186013,2025-06-25,161186,0,0.0
161186014,2025-06-25,161186,0,0.0
161201001,2025-06-25,161201,0,0.0
161201002,2025-06-25,161201,0,0.0
161201003,2025-06-25,161201,0,0.0
161201004,2025-06-25,161201,0,0.0
161202001,2025-06-25,161202,0,0.0
161202002,2025-06-25,161202,0,0.0
161501001,2025-06-25,161501,0,0.0
161501002,2025-06-25,161501,0,0.0
161501003,2025-06-25,161501,0,0.0
161601001,2025-06-25,161601,0,0.0
161601002,2025-06-25,161601,0,0.0
161601003,2025-06-25,161601,0,0.0
161602001,2025-06-25,161602,0,0.0
161602002,2025-06-25,161602,0,0.0
161602003,2025-06-25,161602,0,0.0
161604001,2025-06-25,161604,0,0.0
161604002,2025-06-25,161604,0,0.0
162001001,2025-06-25,162001,0,0.0
162001002,2025-06-25,162001,0,0.0
162001003,2025-06-25,162001,0,0.0
