LOCID,LOCDISPLAYID,LOCNAME,LOCTYPE,ISIBG,ISGST,PRODUCTNAME,AMOUNT,FLAG,TYPE,ISHQ
54,181203,SPPL - CLEMENTI N7,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
54,181203,SPPL - CLEMENTI N7,1,False,False,Funding and Recovery,0.0,REC,CH,False
54,181203,SPPL - CLEMENTI N7,1,False,False,Online Adjustment,-0.0,FUN,CH,False
54,181203,SPPL - CLEMENTI N7,1,False,False,Online Adjustment,0.0,REC,CH,False
55,181401,SPPL - COMMONWEALTH CRESCENT,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
55,181401,SPPL - COMMONWEALTH CRESCENT,1,False,False,Funding and Recovery,0.0,REC,CH,False
55,181401,SPPL - COMMONWEALTH CRESCENT,1,False,False,Online Adjustment,-0.0,FUN,CH,False
55,181401,SPPL - COMMONWEALTH CRESCENT,1,False,False,Online Adjustment,0.0,REC,CH,False
56,182601,SPPL - EMPRESS ROAD,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
56,182601,SPPL - EMPRESS ROAD,1,False,False,Funding and Recovery,0.0,REC,CH,False
56,182601,SPPL - EMPRESS ROAD,1,False,False,Online Adjustment,-0.0,FUN,CH,False
56,182601,SPPL - EMPRESS ROAD,1,False,False,Online Adjustment,0.0,REC,CH,False
57,182701,SPPL - GHIM MOH,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
57,182701,SPPL - GHIM MOH,1,False,False,Funding and Recovery,0.0,REC,CH,False
57,182701,SPPL - GHIM MOH,1,False,False,Online Adjustment,-0.0,FUN,CH,False
57,182701,SPPL - GHIM MOH,1,False,False,Online Adjustment,0.0,REC,CH,False
58,182702,SPPL - HOLLAND DR,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
58,182702,SPPL - HOLLAND DR,1,False,False,Funding and Recovery,0.0,REC,CH,False
58,182702,SPPL - HOLLAND DR,1,False,False,Online Adjustment,-0.0,FUN,CH,False
58,182702,SPPL - HOLLAND DR,1,False,False,Online Adjustment,0.0,REC,CH,False
59,186001,SPPL - TEBAN GARDENS,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
59,186001,SPPL - TEBAN GARDENS,1,False,False,Funding and Recovery,0.0,REC,CH,False
59,186001,SPPL - TEBAN GARDENS,1,False,False,Online Adjustment,-0.0,FUN,CH,False
59,186001,SPPL - TEBAN GARDENS,1,False,False,Online Adjustment,0.0,REC,CH,False
60,186002,SPPL - JURONG EAST,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
60,186002,SPPL - JURONG EAST,1,False,False,Funding and Recovery,0.0,REC,CH,False
60,186002,SPPL - JURONG EAST,1,False,False,Online Adjustment,-0.0,FUN,CH,False
60,186002,SPPL - JURONG EAST,1,False,False,Online Adjustment,0.0,REC,CH,False
61,186190,SPPL - JURONG WEST N5,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
61,186190,SPPL - JURONG WEST N5,1,False,False,Funding and Recovery,0.0,REC,CH,False
61,186190,SPPL - JURONG WEST N5,1,False,False,Online Adjustment,-0.0,FUN,CH,False
61,186190,SPPL - JURONG WEST N5,1,False,False,Online Adjustment,0.0,REC,CH,False
62,186194,SPPL - IMM,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
62,186194,SPPL - IMM,1,False,False,Funding and Recovery,0.0,REC,CH,False
62,186194,SPPL - IMM,1,False,False,Online Adjustment,-0.0,FUN,CH,False
62,186194,SPPL - IMM,1,False,False,Online Adjustment,0.0,REC,CH,False
63,186401,SPPL - JURONG WEST N4,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
63,186401,SPPL - JURONG WEST N4,1,False,False,Funding and Recovery,0.0,REC,CH,False
63,186401,SPPL - JURONG WEST N4,1,False,False,Online Adjustment,-0.0,FUN,CH,False
63,186401,SPPL - JURONG WEST N4,1,False,False,Online Adjustment,0.0,REC,CH,False
64,186402,SPPL - JURONG WEST N2,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
64,186402,SPPL - JURONG WEST N2,1,False,False,Funding and Recovery,0.0,REC,CH,False
64,186402,SPPL - JURONG WEST N2,1,False,False,Online Adjustment,-0.0,FUN,CH,False
64,186402,SPPL - JURONG WEST N2,1,False,False,Online Adjustment,0.0,REC,CH,False
65,186403,SPPL - GEK POH SHOPPING CENTRE,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
65,186403,SPPL - GEK POH SHOPPING CENTRE,1,False,False,Funding and Recovery,0.0,REC,CH,False
65,186403,SPPL - GEK POH SHOPPING CENTRE,1,False,False,Online Adjustment,-0.0,FUN,CH,False
65,186403,SPPL - GEK POH SHOPPING CENTRE,1,False,False,Online Adjustment,0.0,REC,CH,False
66,186501,SPPL - BUKIT BATOK N3,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
66,186501,SPPL - BUKIT BATOK N3,1,False,False,Funding and Recovery,0.0,REC,CH,False
66,186501,SPPL - BUKIT BATOK N3,1,False,False,Online Adjustment,-0.0,FUN,CH,False
66,186501,SPPL - BUKIT BATOK N3,1,False,False,Online Adjustment,0.0,REC,CH,False
67,186502,SPPL - BUKIT GOMBAK,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
67,186502,SPPL - BUKIT GOMBAK,1,False,False,Funding and Recovery,0.0,REC,CH,False
67,186502,SPPL - BUKIT GOMBAK,1,False,False,Online Adjustment,-0.0,FUN,CH,False
67,186502,SPPL - BUKIT GOMBAK,1,False,False,Online Adjustment,0.0,REC,CH,False
68,186503,SPPL - BUKIT BATOK CENTRAL,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
